id,name,asset,status,operator,vintage,spudDate,completionDate,firstProductionDate,fieldName,basin,county,state,country,api,wellType,lateralLength,totalDepth,drillingDays,rigCrew,wellCost,completionType,completionDate,proppantLoaded,fluidPumped,stages,clusterSpacing,currentProduction,ip30,ip90,ip180,cumulativeOil,cumulativeGas,cumulativeWater,waterCut,gor,npv,irr,breakEven,eur,reservoirPressure,bottomholeTemperature,permeability,porosity,oilSaturation,payThickness,notes
W-011,Imor-Gamma-011,Imor 1,Active,Okhiku Energy,2024,2024-03-05,2024-04-18,2024-04-25,Imor Field,Niger Delta,Rivers,Rivers State,Nigeria,API-011,Horizontal,4950,12680,22,Crew-A,8.6,Slickwater,2024-04-18,3350000,192000,29,43,480,710,550,465,125000,388000,35000,21.9,2.51,14.2,36.8,42.5,590,4160,215,87,18.7,65,125,New well
W-012,Imor-Gamma-012,Imor 1,Active,Okhiku Energy,2024,2024-05-20,2024-07-02,2024-07-09,Imor Field,Niger Delta,Rivers,Rivers State,Nigeria,API-012,Horizontal,5180,12950,23,Crew-B,8.9,Hybrid,2024-07-02,3580000,200000,31,41,495,730,565,478,95000,295000,28000,22.8,2.47,15.5,38.2,43.8,615,4210,212,84,18.4,64,128,Strong start
W-013,Imor-Delta-013,Imor 1,Active,Okhiku Energy,2021,2021-06-10,2021-07-25,2021-08-01,Imor Field,Niger Delta,Rivers,Rivers State,Nigeria,API-013,Horizontal,4750,12350,21,Crew-C,8.1,Slickwater,2021-07-25,3150000,182000,27,46,435,670,520,438,372000,1152000,76000,17.0,2.60,12.8,33.5,41.2,558,4110,219,89,19.0,67,123,Mature well
W-014,Imor-Delta-014,Imor 1,Active,Okhiku Energy,2022,2022-07-15,2022-08-28,2022-09-04,Imor Field,Niger Delta,Rivers,Rivers State,Nigeria,API-014,Horizontal,5050,12820,24,Crew-A,8.8,Hybrid,2022-08-28,3480000,197000,30,42,488,720,558,472,352000,1092000,80000,18.5,2.53,14.8,36.5,42.9,598,4185,213,85,18.5,64,127,Mid-tier performer
W-015,Imor-Delta-015,Imor 1,Active,Okhiku Energy,2023,2023-08-20,2023-10-02,2023-10-09,Imor Field,Niger Delta,Rivers,Rivers State,Nigeria,API-015,Horizontal,4880,12580,20,Crew-B,8.4,Slickwater,2023-10-02,3280000,189000,28,44,465,700,542,458,245000,760000,62000,20.2,2.55,13.2,35.2,41.8,575,4135,216,88,18.8,66,124,Recent addition
W-016,Imor-Delta-016,Imor 1,Shut-in,Okhiku Energy,2022,2022-10-05,2022-11-18,2022-11-25,Imor Field,Niger Delta,Rivers,Rivers State,Nigeria,API-016,Horizontal,5120,12880,25,Crew-C,9.0,Gel,2022-11-18,3620000,203000,32,40,0,745,578,488,298000,925000,72000,19.5,2.46,9.2,29.8,39.2,485,4195,210,82,18.3,63,129,Under maintenance
W-017,Imor-Epsilon-017,Imor 1,Active,Okhiku Energy,2023,2023-11-10,2023-12-23,2023-12-30,Imor Field,Niger Delta,Rivers,Rivers State,Nigeria,API-017,Horizontal,4980,12720,22,Crew-A,8.7,Hybrid,2023-12-23,3420000,194000,30,42,498,728,562,476,168000,521000,45000,21.1,2.49,15.2,37.5,43.2,605,4180,212,84,18.4,64,128,Good economics
W-018,Imor-Epsilon-018,Imor 1,Active,Okhiku Energy,2024,2024-08-15,2024-09-27,2024-10-04,Imor Field,Niger Delta,Rivers,Rivers State,Nigeria,API-018,Horizontal,5220,13050,26,Crew-B,9.2,Gel,2024-09-27,3720000,206000,33,39,518,752,582,492,58000,180000,18000,23.7,2.44,16.8,39.8,44.8,638,4245,209,81,18.2,62,130,Very new well
W-019,Imor-Epsilon-019,Imor 1,Active,Okhiku Energy,2021,2021-09-12,2021-10-26,2021-11-02,Imor Field,Niger Delta,Rivers,Rivers State,Nigeria,API-019,Horizontal,4820,12480,21,Crew-C,8.3,Slickwater,2021-10-26,3220000,186000,28,45,428,685,530,445,365000,1132000,74000,16.8,2.59,12.5,33.2,40.8,552,4115,218,88,18.9,66,122,Steady producer
W-020,Imor-Epsilon-020,Imor 1,Active,Okhiku Energy,2022,2022-12-08,2023-01-20,2023-01-27,Imor Field,Niger Delta,Rivers,Rivers State,Nigeria,API-020,Horizontal,5080,12850,23,Crew-A,8.9,Hybrid,2023-01-20,3510000,199000,31,41,492,732,565,479,338000,1048000,78000,18.8,2.51,14.9,36.8,43.0,602,4190,212,85,18.5,64,128,Consistent well
W-021,Ebubu-Alpha-021,Imor 2,Active,Okhiku Energy,2021,2021-01-20,2021-03-05,2021-03-12,Ebubu Field,Niger Delta,Rivers,Rivers State,Nigeria,API-021,Horizontal,4200,11800,18,Crew-D,7.2,Slickwater,2021-03-05,2800000,165000,24,50,385,580,445,375,295000,915000,95000,24.3,2.78,10.8,28.5,36.2,475,3950,228,95,19.8,72,115,Moderate water cut
W-022,Ebubu-Alpha-022,Imor 2,Active,Okhiku Energy,2021,2021-04-15,2021-05-30,2021-06-06,Ebubu Field,Niger Delta,Rivers,Rivers State,Nigeria,API-022,Horizontal,4500,12100,20,Crew-E,7.6,Hybrid,2021-05-30,3000000,175000,26,48,405,610,470,395,312000,968000,102000,24.6,2.72,11.5,30.2,37.5,498,4020,225,92,19.5,70,118,Typical Imor 2 well
W-023,Ebubu-Alpha-023,Imor 2,Active,Okhiku Energy,2021,2021-07-10,2021-08-24,2021-08-31,Ebubu Field,Niger Delta,Rivers,Rivers State,Nigeria,API-023,Horizontal,4350,11950,19,Crew-D,7.4,Slickwater,2021-08-24,2900000,170000,25,49,395,595,458,385,305000,946000,98000,24.3,2.75,11.2,29.5,36.8,488,3985,226,94,19.7,71,116,Good early IP
W-024,Ebubu-Beta-024,Imor 2,Active,Okhiku Energy,2022,2022-01-15,2022-02-28,2022-03-07,Ebubu Field,Niger Delta,Rivers,Rivers State,Nigeria,API-024,Horizontal,4600,12250,21,Crew-E,7.9,Hybrid,2022-02-28,3100000,180000,27,47,418,625,482,405,298000,925000,96000,24.4,2.70,12.2,31.5,38.2,512,4050,224,91,19.4,69,119,Enhanced design
W-025,Ebubu-Beta-025,Imor 2,Active,Okhiku Energy,2022,2022-04-20,2022-06-03,2022-06-10,Ebubu Field,Niger Delta,Rivers,Rivers State,Nigeria,API-025,Horizontal,4450,12050,20,Crew-D,7.7,Slickwater,2022-06-03,2950000,172000,25,48,408,605,467,392,288000,894000,94000,24.6,2.73,11.8,30.8,37.8,502,4015,225,93,19.6,70,117,Standard well
W-026,Ebubu-Beta-026,Imor 2,Shut-in,Okhiku Energy,2022,2022-07-25,2022-09-07,2022-09-14,Ebubu Field,Niger Delta,Rivers,Rivers State,Nigeria,API-026,Horizontal,4550,12180,21,Crew-E,7.8,Hybrid,2022-09-07,3050000,178000,26,47,0,618,476,400,245000,760000,82000,25.0,2.71,7.5,25.2,33.8,425,4035,224,91,19.4,69,118,Workover needed
W-027,Ebubu-Gamma-027,Imor 2,Active,Okhiku Energy,2023,2023-01-18,2023-03-02,2023-03-09,Ebubu Field,Niger Delta,Rivers,Rivers State,Nigeria,API-027,Horizontal,4280,11880,19,Crew-D,7.3,Slickwater,2023-03-02,2850000,167000,24,49,392,588,453,382,228000,708000,75000,24.7,2.76,11.0,29.2,36.5,482,3970,227,94,19.8,71,116,Recent well
W-028,Ebubu-Gamma-028,Imor 2,Active,Okhiku Energy,2023,2023-04-22,2023-06-05,2023-06-12,Ebubu Field,Niger Delta,Rivers,Rivers State,Nigeria,API-028,Horizontal,4520,12120,20,Crew-E,7.7,Hybrid,2023-06-05,3020000,176000,26,48,412,615,474,398,215000,667000,72000,25.1,2.72,11.9,31.2,38.0,505,4025,225,92,19.5,70,118,Good performer
W-029,Ebubu-Gamma-029,Imor 2,Active,Okhiku Energy,2023,2023-07-28,2023-09-10,2023-09-17,Ebubu Field,Niger Delta,Rivers,Rivers State,Nigeria,API-029,Horizontal,4380,11980,19,Crew-D,7.5,Slickwater,2023-09-10,2920000,171000,25,49,398,600,462,388,192000,596000,66000,25.6,2.74,11.4,30.0,37.2,492,3995,226,93,19.6,71,117,Typical performance
W-030,Ebubu-Delta-030,Imor 2,Active,Okhiku Energy,2023,2023-10-15,2023-11-28,2023-12-05,Ebubu Field,Niger Delta,Rivers,Rivers State,Nigeria,API-030,Horizontal,4630,12280,22,Crew-E,8.0,Gel,2023-11-28,3150000,183000,28,46,425,635,489,412,168000,521000,60000,26.3,2.69,12.5,32.2,39.0,522,4065,223,90,19.3,68,120,Gel completion trial
W-031,Ebubu-Delta-031,Imor 2,Active,Okhiku Energy,2024,2024-01-20,2024-03-04,2024-03-11,Ebubu Field,Niger Delta,Rivers,Rivers State,Nigeria,API-031,Horizontal,4420,12020,20,Crew-D,7.6,Slickwater,2024-03-04,2970000,173000,25,48,402,608,468,394,125000,388000,48000,27.5,2.73,11.6,30.5,37.5,498,4005,225,92,19.5,70,117,Latest vintage
W-032,Ebubu-Delta-032,Imor 2,Active,Okhiku Energy,2024,2024-04-25,2024-06-08,2024-06-15,Ebubu Field,Niger Delta,Rivers,Rivers State,Nigeria,API-032,Horizontal,4580,12210,21,Crew-E,7.9,Hybrid,2024-06-08,3080000,179000,27,47,415,622,479,403,88000,273000,35000,28.4,2.70,12.0,31.8,38.5,508,4040,224,91,19.4,69,119,New well
W-033,Ebubu-Epsilon-033,Imor 2,Active,Okhiku Energy,2024,2024-07-30,2024-09-12,2024-09-19,Ebubu Field,Niger Delta,Rivers,Rivers State,Nigeria,API-033,Horizontal,4310,11910,18,Crew-D,7.4,Slickwater,2024-09-12,2880000,168000,24,49,388,592,456,384,52000,161000,22000,29.7,2.75,10.9,29.0,36.8,485,3975,227,94,19.8,71,116,Very new
W-034,Ebubu-Epsilon-034,Imor 2,Active,Okhiku Energy,2021,2021-10-15,2021-11-28,2021-12-05,Ebubu Field,Niger Delta,Rivers,Rivers State,Nigeria,API-034,Horizontal,4480,12080,20,Crew-E,7.7,Hybrid,2021-11-28,3030000,177000,26,48,398,612,471,396,285000,884000,92000,24.4,2.72,11.3,30.0,37.5,495,4010,225,92,19.5,70,118,Mature well
W-035,Ebubu-Zeta-035,Imor 2,Shut-in,Okhiku Energy,2022,2022-10-20,2022-12-03,2022-12-10,Ebubu Field,Niger Delta,Rivers,Rivers State,Nigeria,API-035,Horizontal,4540,12150,21,Crew-D,7.8,Slickwater,2022-12-03,3000000,175000,25,48,0,608,468,394,232000,720000,78000,25.2,2.73,7.2,24.8,33.2,418,4020,225,92,19.5,70,118,Equipment failure
W-036,Ebubu-Zeta-036,Imor 2,Active,Okhiku Energy,2023,2023-12-15,2024-01-28,2024-02-04,Ebubu Field,Niger Delta,Rivers,Rivers State,Nigeria,API-036,Horizontal,4390,12000,19,Crew-E,7.5,Hybrid,2024-01-28,2940000,172000,25,48,405,602,464,390,95000,295000,40000,29.8,2.74,11.5,30.2,37.2,492,3990,226,93,19.6,71,117,Recent start
W-037,Ebubu-Zeta-037,Imor 2,Active,Okhiku Energy,2024,2024-10-10,2024-11-23,2024-11-30,Ebubu Field,Niger Delta,Rivers,Rivers State,Nigeria,API-037,Horizontal,4620,12260,22,Crew-D,8.0,Gel,2024-11-23,3140000,182000,28,46,418,628,484,408,32000,99000,15000,31.9,2.69,12.3,32.0,38.8,518,4055,223,90,19.3,68,119,Latest well
W-038,Oloma-Alpha-038,Ebubu,Active,Okhiku Energy,2021,2021-02-05,2021-03-20,2021-03-27,Oloma Field,Niger Delta,Rivers,Rivers State,Nigeria,API-038,Horizontal,5400,13500,28,Crew-F,10.2,Hybrid,2021-03-20,4000000,220000,36,38,615,885,685,580,485000,1505000,68000,12.3,2.35,18.5,46.2,48.5,728,4480,198,75,17.5,58,142,Premium well
W-039,Oloma-Alpha-039,Ebubu,Active,Okhiku Energy,2021,2021-05-10,2021-06-24,2021-07-01,Oloma Field,Niger Delta,Rivers,Rivers State,Nigeria,API-039,Horizontal,5250,13300,26,Crew-G,9.8,Slickwater,2021-06-24,3850000,210000,34,40,588,850,658,558,465000,1442000,65000,12.3,2.38,17.2,44.5,47.2,695,4420,200,77,17.8,60,138,High EUR
W-040,Oloma-Alpha-040,Ebubu,Active,Okhiku Energy,2021,2021-08-15,2021-09-29,2021-10-06,Oloma Field,Niger Delta,Rivers,Rivers State,Nigeria,API-040,Horizontal,5350,13450,27,Crew-F,10.0,Gel,2021-09-29,3950000,215000,35,39,602,870,672,570,472000,1465000,66000,12.3,2.36,18.0,45.5,48.0,712,4450,199,76,17.6,59,140,Top performer
W-041,Oloma-Beta-041,Ebubu,Active,Okhiku Energy,2022,2022-02-10,2022-03-26,2022-04-02,Oloma Field,Niger Delta,Rivers,Rivers State,Nigeria,API-041,Horizontal,5280,13350,27,Crew-G,9.9,Hybrid,2022-03-26,3880000,212000,34,40,595,860,665,563,452000,1402000,64000,12.4,2.37,17.8,45.0,47.8,705,4435,200,76,17.7,59,139,Excellent well
W-042,Oloma-Beta-042,Ebubu,Active,Okhiku Energy,2022,2022-05-20,2022-07-04,2022-07-11,Oloma Field,Niger Delta,Rivers,Rivers State,Nigeria,API-042,Horizontal,5380,13480,28,Crew-F,10.1,Gel,2022-07-04,3980000,218000,36,38,608,880,680,575,445000,1380000,63000,12.4,2.35,18.2,46.0,48.2,720,4465,198,75,17.5,58,141,Strong economics
W-043,Oloma-Beta-043,Ebubu,Active,Okhiku Energy,2022,2022-08-25,2022-10-09,2022-10-16,Oloma Field,Niger Delta,Rivers,Rivers State,Nigeria,API-043,Horizontal,5300,13400,26,Crew-G,9.9,Hybrid,2022-10-09,3900000,214000,35,39,598,865,668,565,432000,1340000,62000,12.5,2.37,17.9,45.2,47.9,708,4445,199,76,17.7,59,140,Consistent performer
W-044,Oloma-Gamma-044,Ebubu,Active,Okhiku Energy,2023,2023-01-30,2023-03-16,2023-03-23,Oloma Field,Niger Delta,Rivers,Rivers State,Nigeria,API-044,Horizontal,5320,13420,27,Crew-F,10.0,Slickwater,2023-03-16,3920000,216000,35,39,605,872,675,572,398000,1235000,58000,12.7,2.36,18.1,45.8,48.1,715,4458,199,76,17.6,59,140,Recent vintage
W-045,Oloma-Gamma-045,Ebubu,Active,Okhiku Energy,2023,2023-05-05,2023-06-19,2023-06-26,Oloma Field,Niger Delta,Rivers,Rivers State,Nigeria,API-045,Horizontal,5420,13520,29,Crew-G,10.3,Gel,2023-06-19,4020000,222000,37,37,618,890,688,582,382000,1185000,56000,12.8,2.34,18.6,46.5,48.6,730,4490,198,75,17.5,58,142,Premium design
W-046,Oloma-Gamma-046,Ebubu,Shut-in,Okhiku Energy,2023,2023-08-10,2023-09-24,2023-10-01,Oloma Field,Niger Delta,Rivers,Rivers State,Nigeria,API-046,Horizontal,5270,13340,26,Crew-F,9.8,Hybrid,2023-09-24,3870000,211000,34,40,0,858,663,561,312000,968000,48000,13.3,2.38,12.5,38.2,42.5,625,4425,200,77,17.8,60,139,Planned maintenance
W-047,Oloma-Delta-047,Ebubu,Active,Okhiku Energy,2023,2023-11-15,2023-12-30,2024-01-06,Oloma Field,Niger Delta,Rivers,Rivers State,Nigeria,API-047,Horizontal,5330,13430,27,Crew-G,10.0,Slickwater,2023-12-30,3930000,217000,35,39,608,875,677,574,245000,760000,42000,14.6,2.36,18.2,46.0,48.2,718,4460,199,76,17.6,59,140,Strong start
W-048,Oloma-Delta-048,Ebubu,Active,Okhiku Energy,2024,2024-02-20,2024-04-05,2024-04-12,Oloma Field,Niger Delta,Rivers,Rivers State,Nigeria,API-048,Horizontal,5450,13550,30,Crew-F,10.4,Gel,2024-04-05,4050000,224000,37,37,625,895,692,585,172000,534000,32000,15.7,2.33,18.8,47.2,49.0,738,4500,197,74,17.4,57,143,Latest high performer
W-049,Oloma-Epsilon-049,Ebubu,Active,Okhiku Energy,2024,2024-06-05,2024-07-20,2024-07-27,Oloma Field,Niger Delta,Rivers,Rivers State,Nigeria,API-049,Horizontal,5290,13370,26,Crew-G,9.9,Hybrid,2024-07-20,3890000,213000,34,40,612,868,671,568,118000,366000,25000,17.5,2.37,18.0,45.5,48.0,710,4440,199,76,17.7,59,140,New well
W-050,Oloma-Epsilon-050,Ebubu,Active,Okhiku Energy,2024,2024-09-10,2024-10-25,2024-11-01,Oloma Field,Niger Delta,Rivers,Rivers State,Nigeria,API-050,Horizontal,5370,13490,28,Crew-F,10.2,Gel,2024-10-25,4000000,220000,36,38,620,882,683,578,68000,211000,18000,20.9,2.35,18.5,46.5,48.5,725,4475,198,75,17.5,58,141,Very new well
W-051,Oloma-Zeta-051,Ebubu,Active,Okhiku Energy,2022,2022-11-20,2023-01-04,2023-01-11,Oloma Field,Niger Delta,Rivers,Rivers State,Nigeria,API-051,Horizontal,5310,13410,27,Crew-G,10.0,Slickwater,2023-01-04,3910000,215000,35,39,592,863,667,565,412000,1278000,60000,12.7,2.37,17.6,44.8,47.6,702,4440,199,76,17.7,59,140,Mature performer
W-052,Oloma-Zeta-052,Ebubu,Active,Okhiku Energy,2021,2021-11-10,2021-12-25,2022-01-01,Oloma Field,Niger Delta,Rivers,Rivers State,Nigeria,API-052,Horizontal,5360,13460,28,Crew-F,10.1,Hybrid,2021-12-25,3960000,218000,36,38,585,878,679,575,455000,1412000,65000,12.5,2.36,17.4,44.2,47.2,695,4455,199,76,17.6,59,140,Veteran well
W-053,Korokoro-Alpha-053,Oloma,Active,Okhiku Energy,2021,2021-03-15,2021-04-29,2021-05-06,Korokoro Field,Niger Delta,Rivers,Rivers State,Nigeria,API-053,Horizontal,3950,11200,15,Crew-H,6.5,Slickwater,2021-04-29,2400000,145000,20,55,305,495,382,322,245000,760000,125000,33.8,2.95,8.2,24.5,32.5,388,3680,245,105,21.5,78,105,High water content
W-054,Korokoro-Alpha-054,Oloma,Active,Okhiku Energy,2021,2021-06-20,2021-08-03,2021-08-10,Korokoro Field,Niger Delta,Rivers,Rivers State,Nigeria,API-054,Horizontal,4100,11350,17,Crew-I,6.8,Hybrid,2021-08-03,2550000,152000,22,53,322,518,400,338,258000,801000,132000,33.8,2.88,8.8,25.8,33.8,412,3750,242,102,21.2,76,108,Challenging reservoir
W-055,Korokoro-Alpha-055,Oloma,Active,Okhiku Energy,2021,2021-09-25,2021-11-08,2021-11-15,Korokoro Field,Niger Delta,Rivers,Rivers State,Nigeria,API-055,Horizontal,4020,11280,16,Crew-H,6.6,Slickwater,2021-11-08,2480000,148000,21,54,312,505,390,328,248000,770000,128000,34.0,2.92,8.5,25.2,33.2,398,3710,244,104,21.4,77,106,Moderate performer
W-056,Korokoro-Beta-056,Oloma,Active,Okhiku Energy,2022,2022-01-30,2022-03-15,2022-03-22,Korokoro Field,Niger Delta,Rivers,Rivers State,Nigeria,API-056,Horizontal,4150,11400,18,Crew-I,7.0,Gel,2022-03-15,2600000,155000,23,52,335,535,412,348,242000,751000,126000,34.2,2.85,9.2,26.8,34.5,425,3780,240,100,21.0,75,110,Enhanced completion
W-057,Korokoro-Beta-057,Oloma,Active,Okhiku Energy,2022,2022-05-10,2022-06-24,2022-07-01,Korokoro Field,Niger Delta,Rivers,Rivers State,Nigeria,API-057,Horizontal,4080,11320,17,Crew-H,6.7,Slickwater,2022-06-24,2520000,150000,21,53,318,512,395,332,235000,729000,122000,34.1,2.90,8.6,25.5,33.5,405,3730,243,103,21.3,76,107,Standard well
W-058,Korokoro-Beta-058,Oloma,Shut-in,Okhiku Energy,2022,2022-08-15,2022-09-29,2022-10-06,Korokoro Field,Niger Delta,Rivers,Rivers State,Nigeria,API-058,Horizontal,4120,11370,17,Crew-I,6.9,Hybrid,2022-09-29,2570000,153000,22,52,0,525,405,342,198000,614000,105000,34.6,2.87,5.8,20.5,28.2,355,3760,241,101,21.1,75,109,Water breakthrough
W-059,Korokoro-Gamma-059,Oloma,Active,Okhiku Energy,2023,2023-02-10,2023-03-26,2023-04-02,Korokoro Field,Niger Delta,Rivers,Rivers State,Nigeria,API-059,Horizontal,4050,11300,16,Crew-H,6.7,Slickwater,2023-03-26,2500000,149000,21,54,308,502,387,326,185000,574000,98000,34.6,2.91,8.4,25.0,33.0,395,3700,244,104,21.4,77,106,Recent vintage
W-060,Korokoro-Gamma-060,Oloma,Active,Okhiku Energy,2023,2023-05-20,2023-07-04,2023-07-11,Korokoro Field,Niger Delta,Rivers,Rivers State,Nigeria,API-060,Horizontal,4180,11420,19,Crew-I,7.1,Gel,2023-07-04,2630000,157000,24,51,342,542,418,352,172000,534000,92000,34.8,2.84,9.5,27.2,35.0,438,3800,239,99,20.9,74,111,Gel trial
W-061,Korokoro-Gamma-061,Oloma,Active,Okhiku Energy,2023,2023-08-25,2023-10-09,2023-10-16,Korokoro Field,Niger Delta,Rivers,Rivers State,Nigeria,API-061,Horizontal,4090,11340,17,Crew-H,6.8,Slickwater,2023-10-09,2540000,151000,22,53,325,520,402,339,158000,490000,86000,35.2,2.89,8.8,25.8,33.8,415,3740,242,102,21.2,76,108,Typical well
W-062,Korokoro-Delta-062,Oloma,Active,Okhiku Energy,2023,2023-11-30,2024-01-14,2024-01-21,Korokoro Field,Niger Delta,Rivers,Rivers State,Nigeria,API-062,Horizontal,4140,11390,18,Crew-I,6.9,Hybrid,2024-01-14,2580000,154000,23,52,332,530,409,345,125000,388000,72000,36.6,2.86,9.0,26.5,34.2,422,3770,240,100,21.0,75,109,Recent start
W-063,Korokoro-Delta-063,Oloma,Active,Okhiku Energy,2024,2024-03-10,2024-04-24,2024-05-01,Korokoro Field,Niger Delta,Rivers,Rivers State,Nigeria,API-063,Horizontal,4070,11310,16,Crew-H,6.7,Slickwater,2024-04-24,2510000,150000,21,53,315,510,394,332,88000,273000,58000,39.5,2.90,8.5,25.2,33.2,402,3720,243,103,21.3,76,107,New well
W-064,Korokoro-Delta-064,Oloma,Active,Okhiku Energy,2024,2024-06-20,2024-08-04,2024-08-11,Korokoro Field,Niger Delta,Rivers,Rivers State,Nigeria,API-064,Horizontal,4200,11440,19,Crew-I,7.2,Gel,2024-08-04,2650000,158000,24,51,348,548,422,356,62000,192000,45000,42.0,2.83,9.6,27.5,35.2,445,3810,239,99,20.9,74,111,Latest well
W-065,Korokoro-Epsilon-065,Oloma,Active,Okhiku Energy,2024,2024-09-15,2024-10-30,2024-11-06,Korokoro Field,Niger Delta,Rivers,Rivers State,Nigeria,API-065,Horizontal,4110,11360,17,Crew-H,6.8,Slickwater,2024-10-30,2560000,152000,22,52,328,522,403,340,38000,118000,32000,45.7,2.88,8.7,25.5,33.5,410,3750,242,102,21.2,76,108,Very new
W-066,Korokoro-Epsilon-066,Oloma,Active,Okhiku Energy,2021,2021-12-10,2022-01-24,2022-01-31,Korokoro Field,Niger Delta,Rivers,Rivers State,Nigeria,API-066,Horizontal,4130,11380,18,Crew-I,6.9,Hybrid,2022-01-24,2570000,153000,22,52,318,528,407,343,232000,720000,118000,33.8,2.87,8.4,25.0,33.0,408,3760,241,101,21.1,75,109,Mature well
W-067,Korokoro-Zeta-067,Oloma,Shut-in,Okhiku Energy,2022,2022-11-15,2022-12-30,2023-01-06,Korokoro Field,Niger Delta,Rivers,Rivers State,Nigeria,API-067,Horizontal,4060,11290,16,Crew-H,6.6,Slickwater,2022-12-30,2490000,149000,21,54,0,508,392,330,168000,521000,92000,35.3,2.91,5.5,19.8,27.5,345,3710,244,104,21.4,77,106,High water rate
